0,-3.04E-06,11,-2.44E-05,21,-4.01E-05,31,-2.38E-04
1,-3.51E-06,12,-2.48E-05,22,-1.41E-02,32,-2.06E-04
2,-1.96E-04,13,-2.52E-05,23,-1.40E-02,33,-2.03E-04
3,-1.97E-04,14,-1.89E-07,24,-1.40E-02,34,-2.00E-04
4,-6.68E-05,15,-2.05E-07,25,-1.40E-02,35,-1.04E-04
5,-6.62E-05,16,-2.17E-07,26,-7.79E-04,36,-1.05E-04
6,-6.39E-05,17,-2.33E-07,27,-7.71E-04,37,-1.06E-04
7,-6.33E-05,18,-3.39E-05,28,-7.63E-04,38,-1.30E-04
8,-6.11E-05,19,-3.58E-05,29,-2.41E-04,39,-1.31E-04
9,-2.29E-05,20,-3.78E-05,30,-2.39E-04,40,-1.32E-04
10,-2.40E-05,,,,,,